
episode: 311/600, returns: -14.807307722823168, epsilon: 0.15
episode: 312/600, returns: -12.633860485902199, epsilon: 0.15
episode: 313/600, returns: -11.273285913659016, epsilon: 0.15
episode: 314/600, returns: -12.58424764897536, epsilon: 0.15
episode: 315/600, returns: -10.155269117532896, epsilon: 0.15
episode: 316/600, returns: -13.620623101762714, epsilon: 0.14
episode: 317/600, returns: -15.196563705604433, epsilon: 0.14
episode: 318/600, returns: -12.327512642085752, epsilon: 0.14
episode: 319/600, returns: -15.340451808668625, epsilon: 0.14
episode: 320/600, returns: -9.62743591877429, epsilon: 0.14
episode: 321/600, returns: -9.499997100653264, epsilon: 0.14
episode: 322/600, returns: -2.846810873316133, epsilon: 0.14
episode: 323/600, returns: -10.604464504330837, epsilon: 0.14
episode: 324/600, returns: -9.55216640431804, epsilon: 0.14
episode: 325/600, returns: 2.1853988718123674, epsilon: 0.14
episode: 326/600, returns: -11.80688032225911, epsilon: 0.14
episode: 327/600, returns: -10.847028993692765, epsilon: 0.14
episode: 328/600, returns: -15.006708411313285, epsilon: 0.14
episode: 329/600, returns: -13.089829307878267, epsilon: 0.14
episode: 330/600, returns: -12.435750153117043, epsilon: 0.13
episode: 331/600, returns: -18.12803841271458, epsilon: 0.13
episode: 332/600, returns: -1.3882967380164246, epsilon: 0.13
episode: 333/600, returns: -15.691555289953955, epsilon: 0.13
episode: 334/600, returns: -10.504341540376107, epsilon: 0.13
episode: 335/600, returns: -16.665660782931525, epsilon: 0.13
episode: 336/600, returns: -13.450559335189894, epsilon: 0.13
episode: 337/600, returns: -12.637697761257039, epsilon: 0.13
episode: 338/600, returns: -4.90858613948193, epsilon: 0.13
episode: 339/600, returns: -7.211887894477524, epsilon: 0.13
episode: 340/600, returns: -10.191021565476683, epsilon: 0.13
episode: 341/600, returns: -11.0750545730039, epsilon: 0.13
episode: 342/600, returns: -14.517949466772167, epsilon: 0.13
episode: 343/600, returns: -13.917070834613765, epsilon: 0.13
episode: 344/600, returns: -10.19765103959686, epsilon: 0.13
episode: 345/600, returns: -12.395592061844935, epsilon: 0.12
episode: 346/600, returns: -17.37157490195839, epsilon: 0.12
episode: 347/600, returns: -13.652822829532614, epsilon: 0.12
episode: 348/600, returns: -11.741294452586022, epsilon: 0.12
episode: 349/600, returns: -15.291476088637795, epsilon: 0.12
episode: 350/600, returns: -2.1136662503569483, epsilon: 0.12
episode: 351/600, returns: -15.548303311671372, epsilon: 0.12
episode: 352/600, returns: -16.07132144929533, epsilon: 0.12
episode: 353/600, returns: -12.052799654495004, epsilon: 0.12
episode: 354/600, returns: -10.005599898522405, epsilon: 0.12
episode: 355/600, returns: -14.611083315011149, epsilon: 0.12
episode: 356/600, returns: -6.772729141073307, epsilon: 0.12
episode: 357/600, returns: -10.896454760525137, epsilon: 0.12
episode: 358/600, returns: -11.115789211555022, epsilon: 0.12
episode: 359/600, returns: -12.180412246028139, epsilon: 0.12
episode: 360/600, returns: -7.277240942097569, epsilon: 0.12
episode: 361/600, returns: -7.728603802131454, epsilon: 0.12
episode: 362/600, returns: 24.86507986226668, epsilon: 0.11
episode: 363/600, returns: 2.0812328640396345, epsilon: 0.11
episode: 364/600, returns: -4.911008495908322, epsilon: 0.11
episode: 365/600, returns: 15.915101690885672, epsilon: 0.11
episode: 366/600, returns: -1.9441108835149294, epsilon: 0.11
episode: 367/600, returns: -0.8130709757651289, epsilon: 0.11
episode: 368/600, returns: -0.4144632159411799, epsilon: 0.11
episode: 369/600, returns: 12.515560158373752, epsilon: 0.11
episode: 370/600, returns: 4.385997685772395, epsilon: 0.11
episode: 371/600, returns: 11.462529361475733, epsilon: 0.11
episode: 372/600, returns: 38.098145916659654, epsilon: 0.11
episode: 373/600, returns: 11.115926170295664, epsilon: 0.11
episode: 374/600, returns: 18.803075893376445, epsilon: 0.11
episode: 375/600, returns: 5.2224247147163165, epsilon: 0.11
episode: 376/600, returns: 14.726442469787845, epsilon: 0.11
episode: 377/600, returns: 13.256922841002256, epsilon: 0.11
episode: 378/600, returns: 15.844997067838085, epsilon: 0.11
episode: 379/600, returns: 2.2336235385901886, epsilon: 0.11
episode: 380/600, returns: 18.199331016246695, epsilon: 0.1
episode: 381/600, returns: 15.0173339216155, epsilon: 0.1
episode: 382/600, returns: 55.252353957879514, epsilon: 0.1
episode: 383/600, returns: 19.409038665989577, epsilon: 0.1
episode: 384/600, returns: 43.6574688976428, epsilon: 0.1
episode: 385/600, returns: 34.48655379448965, epsilon: 0.1
episode: 386/600, returns: 39.177253793936046, epsilon: 0.1
episode: 387/600, returns: 16.343251764463048, epsilon: 0.1
episode: 388/600, returns: 54.93763770486237, epsilon: 0.1
episode: 389/600, returns: 61.865991396851335, epsilon: 0.1
episode: 390/600, returns: 35.76201022659227, epsilon: 0.1
episode: 391/600, returns: 77.35450429762317, epsilon: 0.099
episode: 392/600, returns: 37.048064897480664, epsilon: 0.099
episode: 393/600, returns: 53.98524111256322, epsilon: 0.098
episode: 394/600, returns: 81.86080252745364, epsilon: 0.098
episode: 395/600, returns: 39.69311882014443, epsilon: 0.097
episode: 396/600, returns: 75.98690388135299, epsilon: 0.097
episode: 397/600, returns: 97.00962175113277, epsilon: 0.096
episode: 398/600, returns: 63.21479314904252, epsilon: 0.096
episode: 399/600, returns: 105.46406718395993, epsilon: 0.095
episode: 400/600, returns: 93.16031141315365, epsilon: 0.095
episode: 401/600, returns: 72.0535224764293, epsilon: 0.094
episode: 402/600, returns: 79.9848908346941, epsilon: 0.094
episode: 403/600, returns: 78.60870484509539, epsilon: 0.093
episode: 404/600, returns: 79.08321681442719, epsilon: 0.093
episode: 405/600, returns: 96.5947898253153, epsilon: 0.092
episode: 406/600, returns: 91.4093127836656, epsilon: 0.092
episode: 407/600, returns: 139.09585763703816, epsilon: 0.091
episode: 408/600, returns: 112.25350082482133, epsilon: 0.091
episode: 409/600, returns: 127.30027155269318, epsilon: 0.091
episode: 410/600, returns: 79.87297009203354, epsilon: 0.09
episode: 411/600, returns: 134.56619140666263, epsilon: 0.09
episode: 412/600, returns: 115.20511599281076, epsilon: 0.089
episode: 413/600, returns: 137.58345517899534, epsilon: 0.089
episode: 414/600, returns: 121.5832776238191, epsilon: 0.088
episode: 415/600, returns: 122.73269346843044, epsilon: 0.088
episode: 416/600, returns: 90.33169601306354, epsilon: 0.087
episode: 417/600, returns: 129.6665638366791, epsilon: 0.087
episode: 418/600, returns: 105.233982398022, epsilon: 0.087
episode: 419/600, returns: 129.12625938672824, epsilon: 0.086
episode: 420/600, returns: 91.32741352718058, epsilon: 0.086
episode: 421/600, returns: 130.58205981078368, epsilon: 0.085
episode: 422/600, returns: 155.33384843425333, epsilon: 0.085
episode: 423/600, returns: 143.50509155809937, epsilon: 0.084
episode: 424/600, returns: 159.48139268285573, epsilon: 0.084
episode: 425/600, returns: 205.8088348827784, epsilon: 0.084
episode: 426/600, returns: 139.43247443065147, epsilon: 0.083
episode: 427/600, returns: 149.5239634609345, epsilon: 0.083
episode: 428/600, returns: 149.06321776750906, epsilon: 0.082
episode: 429/600, returns: 167.0399050124227, epsilon: 0.082
episode: 430/600, returns: 155.06024029647082, epsilon: 0.082
episode: 431/600, returns: 182.5617114996462, epsilon: 0.081
episode: 432/600, returns: 171.4872108530852, epsilon: 0.081
episode: 433/600, returns: 206.43915579363343, epsilon: 0.08
episode: 434/600, returns: 132.3198091309564, epsilon: 0.08
episode: 435/600, returns: 178.10848273977703, epsilon: 0.079
episode: 436/600, returns: 185.5810129093662, epsilon: 0.079
episode: 437/600, returns: 181.72867288465704, epsilon: 0.079
episode: 438/600, returns: 162.96014301003243, epsilon: 0.078
episode: 439/600, returns: 204.1250459732293, epsilon: 0.078
episode: 440/600, returns: 148.18245643114997, epsilon: 0.078
episode: 441/600, returns: 73.44575933168053, epsilon: 0.077
episode: 442/600, returns: 124.99735912009669, epsilon: 0.077
episode: 443/600, returns: 160.23436493030704, epsilon: 0.076
episode: 444/600, returns: 110.33487101685428, epsilon: 0.076
episode: 445/600, returns: 210.73803565943493, epsilon: 0.076
episode: 446/600, returns: 164.35455654054743, epsilon: 0.075
episode: 447/600, returns: 111.10943826942798, epsilon: 0.075
episode: 448/600, returns: 180.14306471722284, epsilon: 0.074
episode: 449/600, returns: 149.2265951519424, epsilon: 0.074
episode: 450/600, returns: 230.40831060424617, epsilon: 0.074
episode: 451/600, returns: 126.3265919179293, epsilon: 0.073
episode: 452/600, returns: 103.71970870010786, epsilon: 0.073
episode: 453/600, returns: 123.5820125877755, epsilon: 0.073
episode: 454/600, returns: 204.7357715158189, epsilon: 0.072
episode: 455/600, returns: 181.12393343723605, epsilon: 0.072
episode: 456/600, returns: 181.20100746383537, epsilon: 0.072
episode: 457/600, returns: 170.58024317352584, epsilon: 0.071
episode: 458/600, returns: 188.02271851137073, epsilon: 0.071
episode: 459/600, returns: 148.16481447883754, epsilon: 0.07
episode: 460/600, returns: 186.478269193207, epsilon: 0.07
episode: 461/600, returns: 177.80963517502903, epsilon: 0.07
episode: 462/600, returns: 145.55452685243623, epsilon: 0.069
episode: 463/600, returns: 184.0737090429026, epsilon: 0.069
episode: 464/600, returns: 157.02044543377463, epsilon: 0.069
